total_pop,white_nonhisp,black,asian,hispanic,median_hh_inc,per_capita_inc,gini_index,pop_below_poverty,hh_on_snap,med_home_value,med_gross_rent,owner_occupied,renter_occupied,vacant_units,bachelors_deg,masters_deg,unemployed_count,foreign_born,moved_last_year,state,zip code tabulation area,year,borough,avg_med_hh_inc,income_2012,income_2022,med_HHinc,total_change,pct_growth,avg_5yr_change
67195.0,45146.0,3247.0,4834.0,12000.0,93184.0,55199.0,0.4643,5759.0,1492.0,898400.0,1706.0,10749.0,17809.0,2229.0,17164.0,11600.0,2853.0,11907.0,54241.0,36,11215,2012,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5
81267.0,749.0,66404.0,1107.0,12046.0,27901.0,15405.0,0.4965,27429.0,10165.0,402900.0,880.0,4615.0,25242.0,3214.0,3817.0,1111.0,4695.0,27423.0,73381.0,36,11212,2012,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0
53031.0,5390.0,3192.0,3591.0,40378.0,37636.0,15692.0,0.4681,17504.0,5959.0,459000.0,1165.0,1496.0,14781.0,1572.0,3522.0,1254.0,2379.0,24704.0,45774.0,36,11237,2012,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5
55478.0,6643.0,3583.0,3706.0,41074.0,40372.0,17134.0,0.482,18127.0,6240.0,464500.0,1225.0,1688.0,15033.0,1312.0,4133.0,1459.0,3663.0,24861.0,47917.0,36,11237,2013,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5
84520.0,982.0,69739.0,818.0,11906.0,28348.0,16535.0,0.5001,28856.0,11097.0,391700.0,928.0,4718.0,25449.0,2903.0,3862.0,1118.0,4619.0,28148.0,75392.0,36,11212,2013,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0
68891.0,45680.0,2969.0,5091.0,12473.0,95654.0,56340.0,0.4729,6165.0,1611.0,913200.0,1778.0,10975.0,17847.0,2132.0,17589.0,11892.0,3074.0,12322.0,55734.0,36,11215,2013,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5
87751.0,1018.0,71232.0,840.0,13539.0,28146.0,15814.0,0.5028,30354.0,12181.0,383200.0,936.0,4497.0,26188.0,2847.0,4395.0,1271.0,4842.0,29204.0,78540.0,36,11212,2014,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0
70156.0,46098.0,2994.0,5437.0,12753.0,99040.0,58737.0,0.4746,5758.0,1682.0,937700.0,1860.0,10786.0,18198.0,2246.0,18100.0,12244.0,2805.0,12488.0,57023.0,36,11215,2014,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5
55258.0,7255.0,3855.0,3722.0,39971.0,42496.0,18373.0,0.4754,17468.0,5941.0,496100.0,1299.0,1535.0,15148.0,1226.0,4574.0,1645.0,3904.0,24050.0,47313.0,36,11237,2014,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5
54182.0,7915.0,3606.0,4190.0,37751.0,44950.0,20036.0,0.4824,16436.0,5580.0,511500.0,1323.0,1530.0,15052.0,1238.0,5196.0,1684.0,4014.0,23107.0,46576.0,36,11237,2015,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5
70818.0,46877.0,2811.0,5483.0,12568.0,103716.0,60565.0,0.4701,5670.0,1533.0,957500.0,1914.0,10967.0,18215.0,1977.0,19041.0,13134.0,2533.0,12449.0,57570.0,36,11215,2015,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5
88668.0,1285.0,70612.0,1124.0,14619.0,28207.0,15853.0,0.4975,30735.0,12524.0,394200.0,923.0,4682.0,26761.0,2644.0,4924.0,1589.0,5204.0,29988.0,79293.0,36,11212,2015,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0
69965.0,46744.0,2583.0,5241.0,12095.0,108178.0,64040.0,0.4788,5623.0,1585.0,1000800.0,2000.0,10918.0,18089.0,2008.0,18483.0,13441.0,2155.0,12134.0,57372.0,36,11215,2016,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5
53678.0,8582.0,3885.0,3903.0,36441.0,46351.0,20829.0,0.4689,16454.0,5499.0,551100.0,1357.0,1543.0,15242.0,1128.0,6068.0,1656.0,3862.0,22293.0,46207.0,36,11237,2016,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5
86469.0,1208.0,68375.0,1321.0,14664.0,28495.0,17064.0,0.5173,29835.0,12816.0,406000.0,956.0,4727.0,26860.0,2982.0,5157.0,1787.0,4850.0,29656.0,77577.0,36,11212,2016,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0
52319.0,9789.0,3840.0,4107.0,33492.0,51269.0,23115.0,0.4676,15303.0,5025.0,595400.0,1428.0,1693.0,15096.0,1195.0,7040.0,1967.0,2919.0,20858.0,44772.0,36,11237,2017,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5
71015.0,47287.0,2480.0,5409.0,12166.0,116893.0,67148.0,0.4778,5220.0,1588.0,1084600.0,2123.0,11487.0,17393.0,2182.0,18967.0,13504.0,1930.0,11920.0,59109.0,36,11215,2017,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5
82831.0,1116.0,64796.0,975.0,14713.0,25677.0,18150.0,0.5533,29825.0,13905.0,409700.0,942.0,4548.0,26936.0,3242.0,5220.0,1796.0,5786.0,27880.0,74195.0,36,11212,2017,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0
76527.0,907.0,59207.0,974.0,14266.0,26239.0,18772.0,0.5507,26929.0,13834.0,425400.0,953.0,4649.0,26805.0,3431.0,5545.0,1799.0,5175.0,26426.0,68964.0,36,11212,2018,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0
49310.0,9791.0,3718.0,3557.0,31052.0,51413.0,24493.0,0.4731,14680.0,4600.0,651800.0,1484.0,1668.0,15072.0,1247.0,7196.0,2223.0,1890.0,18151.0,42136.0,36,11237,2018,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5
70156.0,46961.0,2636.0,5531.0,11428.0,123583.0,70556.0,0.477,4957.0,1427.0,1138500.0,2216.0,11611.0,17024.0,2285.0,18903.0,13771.0,1700.0,12059.0,58689.0,36,11215,2018,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5
69873.0,47251.0,2722.0,5620.0,10480.0,132091.0,74942.0,0.4744,4927.0,1381.0,1222400.0,2270.0,11758.0,16687.0,2034.0,18919.0,13793.0,1514.0,11747.0,58626.0,36,11215,2019,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5
75605.0,1286.0,57697.0,831.0,14518.0,26521.0,19569.0,0.5533,25556.0,14027.0,442800.0,942.0,4557.0,27245.0,3524.0,5589.0,1628.0,5058.0,25969.0,67169.0,36,11212,2019,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0
48876.0,9474.0,3872.0,3298.0,31054.0,53303.0,25990.0,0.4775,14135.0,4504.0,755000.0,1578.0,1567.0,15489.0,1287.0,7879.0,2285.0,1526.0,18339.0,41920.0,36,11237,2019,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5
