ZIPYEAR,biz_tech,doe,fin_prop,infr_env,safety,school,ss_hous,avg_duration_min,p1_duration_min,p99_duration_min,dur_avg_hrs,dur_avg_days,housing_building,noise_qol,sanitation_env,street_traffic,public_safety,parks_nature,finance_legal,business_consumer,tech_infrastructure,education,other_misc
11212 2012,252,0,290,4124,3311,14,11189,16425.33469557741,10.688666666666668,252047.3079999997,273.7555782596235,11.406482427484313,10592,2702,1237,1895,464,346,433,274,1038,14,185
11212 2013,194,0,201,4009,3336,24,10631,15479.07759403554,18.596666666666668,233440.07533333302,257.984626567259,10.749359440302458,10021,2586,1104,2409,384,225,351,272,988,24,31
11212 2014,189,0,244,4417,3523,13,12511,20005.85439326765,18.999166666666667,260647.5224999988,333.4309065544609,13.892954439769204,11522,2515,1358,2632,410,331,368,268,943,13,537
11212 2015,172,0,277,4827,4316,8,11609,17943.676919280188,18.38083333333333,243920.60233333055,299.06128198800315,12.460886749500132,10783,2858,1329,3089,535,274,376,294,1099,8,564
11212 2016,128,0,212,4858,5281,22,11601,16392.33723492916,18.466166666666666,188426.42966666658,273.2056205821527,11.383567524256362,10571,3346,1362,3477,780,264,324,241,1045,22,670
11212 2017,137,0,259,5547,5651,24,11470,13616.178138460626,15.267499999999998,131040.79316666667,226.9363023076771,9.45567926281988,10674,3078,1766,4025,976,241,343,277,1079,24,605
11212 2018,164,1,224,7214,5773,53,11115,14399.459276795442,16.06,216321.35666666325,239.9909879465907,9.999624497774613,10344,3141,2975,4202,1300,386,348,282,1022,54,490
11212 2019,124,12,123,7064,6899,3,8334,23812.748353497682,13.165833333333333,590037.0500000068,396.87913922496136,16.536630801040058,7982,3696,3044,4210,1628,382,174,207,837,15,384
11212 2020,507,3,0,5891,9689,0,7069,16337.777522248656,4.383333333333334,308822.76316666394,272.2962920374776,11.3456788348949,6840,5088,2742,3747,2603,694,1,561,612,3,268
11212 2021,169,4,0,6857,10476,0,8904,18047.679634044736,6.033333333333333,370253.3599999984,300.7946605674123,12.533110856975512,8516,5687,3341,5303,1840,319,4,194,805,7,394
11212 2022,170,4,0,5495,9591,0,11069,24990.16764401696,7.1805,465629.5136666658,416.5027940669494,17.35428308612289,10364,5388,1505,5214,1856,298,3,253,982,4,462
11215 2012,201,0,386,7538,2377,10,2790,20034.16214124519,2.0,315360.0,333.9027023540865,13.912612598086938,3053,1596,1275,3526,584,955,1229,436,613,10,25
11215 2013,121,0,329,8035,2697,13,2800,18779.310247323177,9.0,321727.23566666583,312.988504122053,13.041187671752207,3195,1859,1274,3828,705,725,1370,328,673,13,25
11215 2014,134,0,364,8986,3760,9,2914,19362.580297271914,6.916666666666667,347035.24,322.70967162119854,13.446236317549939,3377,2617,1661,4454,766,815,1415,370,560,9,123
11215 2015,161,0,361,9347,4258,18,2751,19261.73028133635,4.409999999999997,345820.7863333335,321.0288380222725,13.376201584261354,2982,2774,2343,5030,814,644,666,527,933,18,165
11215 2016,157,0,274,9313,4788,16,2792,18802.826869519857,8.024000000000001,301234.66733333335,313.3804478253309,13.057518659388789,3324,2800,2701,4793,1008,847,494,534,674,16,149
11215 2017,145,0,339,11647,5536,13,3531,13662.453499002386,7.0,213713.94499999876,227.70755831670644,9.487814929862768,3547,3133,4761,5145,1294,976,513,508,990,13,331
11215 2018,154,2,347,17373,5634,9,4480,15497.653720094211,7.761166666666666,270397.68050000013,258.2942286682368,10.7622595278432,4727,2952,8947,6182,1263,1392,548,526,1275,11,176
11215 2019,213,4,144,16102,5715,4,2552,25715.988195449347,7.326333333333333,506551.82933333004,428.5998032574891,17.858325135728712,2993,2831,9445,5852,1342,952,228,358,644,8,81
11215 2020,478,8,0,14194,6845,0,2176,23530.80333129317,1.4,630223.9678333334,392.18005552155284,16.340835646731367,2500,2992,8755,4344,2509,1048,2,396,1022,12,121
11215 2021,107,3,0,16402,8684,0,3341,24471.72591239124,2.3666666666666667,793170.0573333269,407.862098539854,16.99425410582725,3573,3492,10419,7352,1602,1023,5,201,623,6,241
11215 2022,162,14,0,12352,9620,0,3580,34538.9460182375,2.6666666666666665,791028.7288333306,575.6491003039583,23.9853791793316,3776,3469,4029,8978,2079,1399,5,533,1191,14,255
11237 2012,183,0,258,3842,2513,6,7014,17965.39313754758,1.0,311493.34200000146,299.42321895912636,12.475967456630265,6641,2062,897,1699,285,148,510,189,1331,6,48
11237 2013,73,0,219,3640,3203,7,5846,16613.358798532478,12.0,257048.97266666664,276.88931330887465,11.537054721203111,5577,2654,908,1838,295,118,473,171,939,7,8
11237 2014,68,0,177,4282,4492,11,6218,17915.425175158154,9.266666666666667,231840.0,298.59041958596924,12.441267482748719,5704,3758,1100,2256,426,227,472,165,811,11,318
11237 2015,71,0,158,4647,5938,6,6462,17380.52005899705,7.417833333333332,269185.89166666684,289.67533431661747,12.069805596525727,5918,4788,1253,2522,629,222,269,216,1141,6,318
11237 2016,57,0,107,4737,7585,3,5375,13805.772751307435,9.645333333333333,226318.78066666666,230.0962125217906,9.587342188407941,5049,5974,1245,2719,800,252,171,211,1099,3,341
11237 2017,80,0,125,5221,8465,3,5634,12543.816603318728,10.504333333333333,175660.65899999993,209.06361005531213,8.710983752304672,5126,6701,1686,2948,1124,281,189,205,959,3,306
11237 2018,84,2,142,7378,7565,6,6777,14378.77517188213,11.159666666666666,206152.6073333331,239.64625286470215,9.985260536029257,6514,5578,2975,3260,1151,396,295,199,1176,8,402
11237 2019,71,2,58,9509,9401,0,4523,25616.917519597268,6.695666666666667,282389.50166666665,426.94862532662114,17.789526055275882,4493,7048,3181,5774,1340,363,127,194,830,2,212
11237 2020,269,1,0,7375,11431,0,3746,16260.78486827291,1.25,398819.56666666665,271.01308113788184,11.29221171407841,3553,8026,3811,3691,2126,359,45,325,672,2,212
11237 2021,97,2,0,7016,11622,0,5428,14267.476061679901,5.066666666666666,268439.3860000012,237.791267694665,9.90796948727771,4736,7516,4553,4506,1336,332,12,125,769,2,278
11237 2022,124,4,0,6071,10717,0,6141,31293.1771574559,4.2745,717144.2025,521.552952624265,21.731373026011042,5164,6382,2719,4909,2086,314,35,278,836,4,330
